CIDADE;LATITUDE;LONGITUDE;POPULAÇÃO
APARECIDA;-22,8359387;-45,2239058;32569
APARECIDA;-22,8332293;-45,2159736;32569
APARECIDA;-22,842592;-45,2303876;32569
APARECIDA;-22,8359387;-45,2239058;32569
APARECIDA;-22,8500433;-45,22642015;32569
APARECIDA;-22,8359387;-45,2239058;32569
APARECIDA;-22,8359295;-45,2247344;32569
APARECIDA;-22,8309068;-45,2172244;32569
APARECIDA;-22,850126;-45,2259082;32569
APARECIDA;-22,850126;-45,2259082;32569
APARECIDA;-22,84968422;-45,22742329;32569
APARECIDA;-22,850126;-45,2259082;32569
APARECIDA;-22,84968422;-45,22742329;32569
APARECIDA;-22,842592;-45,2303876;32569
APARECIDA;-22,8418101;-45,2310203;32569
APARECIDA;-22,8404711;-45,2276274;32569
APARECIDA;-22,8309068;-45,2172244;32569
APARECIDA;-22,8309068;-45,2172244;32569
APARECIDA;-22,8359387;-45,2239058;32569
APARECIDA;-22,8505514;-45,22763003;32569
APARECIDA;-22,8500433;-45,22642015;32569
APARECIDA;-22,8505514;-45,22763003;32569
APARECIDA;-22,8402471;-45,2322194;32569
APARECIDA;-22,83626952;-45,22491559;32569
APARECIDA;-22,8351964;-45,2234834;32569
APARECIDA;-22,8350765;-45,2273412;32569
APARECIDA;-22,8351964;-45,2234834;32569
APARECIDA;-22,8509057;-45,2267576;32569
APARECIDA;-22,8245307;-45,2218933;32569
APARECIDA;-22,86932361;-45,25798992;32569
APARECIDA;-22,8505514;-45,22763003;32569
APARECIDA;-22,8392017;-45,2316538;32569
APARECIDA;-22,8372592;-45,2236997;32569
APARECIDA;-22,850126;-45,2259082;32569
APARECIDA;-22,84968422;-45,22742329;32569
APARECIDA;-22,8680619;-45,262499;32569
APARECIDA;-22,84257937;-45,23274469;32569
APARECIDA;-22,8359387;-45,2239058;32569
APARECIDA;-22,8297811;-45,2146313;32569
APARECIDA;-22,8352107;-45,2254507;32569
APARECIDA;-22,8556127;-45,2306418;32569
APARECIDA;-22,842592;-45,2303876;32569
APARECIDA;-22,8500433;-45,22642015;32569
APARECIDA;-22,8359387;-45,2239058;32569
APARECIDA;-22,842592;-45,2303876;32569
APARECIDA;-22,83259243;-45,220498;32569
APARECIDA;-22,842592;-45,2303876;32569
APARECIDA;-22,8500433;-45,22642015;32569
APARECIDA;-22,84959256;-45,22960973;32569
APARECIDA;-22,8456249;-45,2232808;32569
APARECIDA;-22,8448175;-45,2228239;32569
APARECIDA;-22,856151;-45,231111;32569
APARECIDA;-22,849927;-45,2283854;32569
APARECIDA;-22,8297811;-45,2146313;32569
APARECIDA;-22,83425163;-45,22225936;32569
APARECIDA;-22,8413586;-45,2285625;32569
APARECIDA;-22,8366933;-45,2201282;32569
APARECIDA;-22,84968422;-45,22742329;32569
APARECIDA;-22,8464863;-45,2360518;32569
APARECIDA;-22,86393392;-45,25659639;32569
APARECIDA;-22,842592;-45,2303876;32569
APARECIDA;-22,8470315;-45,2295546;32569
APARECIDA;-22,8348564;-45,2315129;32569
APARECIDA;-22,842592;-45,2303876;32569
APARECIDA;-22,8448175;-45,2228239;32569
APARECIDA;-22,8359387;-45,2239058;32569
APARECIDA;-22,8646608;-45,2603915;32569
APARECIDA;-22,84968422;-45,22742329;32569
APARECIDA;-22,842592;-45,2303876;32569
APARECIDA;-22,86630667;-45,25819858;32569
APARECIDA;-22,86222874;-45,25779421;32569
APARECIDA;-22,842592;-45,2303876;32569
APARECIDA;-22,842592;-45,2303876;32569
APARECIDA;-22,83757876;-45,2220073;32569
APARECIDA;-22,8448816;-45,2324116;32569
APARECIDA;-22,842592;-45,2303876;32569
APARECIDA;-22,83539473;-45,22654856;32569
APARECIDA;-22,8309068;-45,2172244;32569
ARAPEI;-22,6763578;-44,4449498;2330
AREIAS;-22,5812045;-44,6936244;3577
AREIAS;-22,8038316;-44,6697657;3577
AREIAS;-22,5812045;-44,6936244;3577
BANANAL;-22,668905;-44,3058286;9969
BANANAL;-22,6836488;-44,3227583;9969
BANANAL;-22,68079613;-44,3194126;9969
CACAPAVA;-23,11242663;-45,70708819;96202
CACAPAVA;-23,0709009;-45,7311523;96202
CACAPAVA;-23,10007073;-45,70490277;96202
CACAPAVA;-23,1087695;-45,7100939;96202
CACAPAVA;-23,10951467;-45,72489512;96202
CACAPAVA;-23,07142587;-45,72166135;96202
CACAPAVA;-23,10284528;-45,70683984;96202
CACAPAVA;-23,1075832;-45,723865;96202
CACAPAVA;-23,10585308;-45,72308635;96202
CACAPAVA;-23,1095664;-45,682397;96202
CACAPAVA;-23,0708533;-45,7283954;96202
CACAPAVA;-23,09969903;-45,62808972;96202
CACAPAVA;-23,10284528;-45,70683984;96202
CACAPAVA;-23,10534893;-45,72401095;96202
CACAPAVA;-23,1075832;-45,723865;96202
CACAPAVA;-23,1014865;-45,6894845;96202
CACAPAVA;-23,11134429;-45,64432646;96202
CACAPAVA;-23,10534893;-45,72401095;96202
CACAPAVA;-23,07338775;-45,71486242;96202
CACAPAVA;-23,1141707;-45,64579261;96202
CACAPAVA;-23,1090824;-45,6832467;96202
CACAPAVA;-23,10534893;-45,72401095;96202
CACAPAVA;-23,1075832;-45,723865;96202
CACAPAVA;-23,1004424;-45,7221753;96202
CACAPAVA;-23,0715553;-45,7308021;96202
CACAPAVA;-23,1141707;-45,64579261;96202
CACAPAVA;-23,1078234;-45,7240616;96202
CACAPAVA;-23,117556;-45,6464592;96202
CACAPAVA;-23,0965834;-45,68243497;96202
CACAPAVA;-23,123933;-45,7298638;96202
CACAPAVA;-23,0715553;-45,7308021;96202
CACAPAVA;-23,10534893;-45,72401095;96202
CACAPAVA;-23,1203208;-45,6459475;96202
CACAPAVA;-23,0804487;-45,7194596;96202
CACAPAVA;-23,0737742;-45,7271544;96202
CACAPAVA;-23,0804487;-45,7194596;96202
